Year,Query emissions (g),Task
2023,0.39458013,Question answering
2023,0.394681843,Fill mask
2023,0.395876083,Fill mask
2023,0.396179801,Fill mask
2023,0.396356594,Question answering
2023,0.396620789,Question answering
2023,0.396658523,Question answering
2023,0.396687967,Question answering
2023,0.39688826,Question answering
2023,0.397337293,Question answering
2023,0.397755593,Fill mask
2023,0.397771856,Question answering
2023,0.3989321858744999,Fill mask
2023,0.399483718,Question answering
2023,0.399547081,Fill mask
2023,0.400543631,Question answering
2023,0.40057848,Question answering
2023,0.400595395,Fill mask
2023,0.400595888,Fill mask
2023,0.400837482,Fill mask
2023,0.401054931,Fill mask
2023,0.401542202,Fill mask
2023,0.401563566,Question answering
2023,0.4019346004169999,Question answering
2023,0.402161757,Fill mask
2023,0.402214362,Fill mask
2023,0.402268179,Fill mask
2023,0.402710968,Fill mask
2023,0.403051853,Question answering
2023,0.40312694,Fill mask
2023,0.403898433,Fill mask
2023,0.403976141,Fill mask
2023,0.404135051,Fill mask
2023,0.404251166,Fill mask
2023,0.4043787659889999,Fill mask
2023,0.404437996,Fill mask
2023,0.404485731,Fill mask
2023,0.405008873,Fill mask
2023,0.405013809,Fill mask
2023,0.405108671,Fill mask
2023,0.405485067,Fill mask
2023,0.4059453420202999,Fill mask
2023,0.405966292,Fill mask
2023,0.405988084,Fill mask
2023,0.406560748,Fill mask
2023,0.406608923,Fill mask
2023,0.406719,Fill mask
2023,0.407109704,Fill mask
2023,0.407856621,Fill mask
2023,0.408367791,Fill mask
2023,0.408574561,Fill mask
2023,0.40879077,Fill mask
2023,0.409171322,Fill mask
2023,0.409235545,Fill mask
2023,0.410017356,Fill mask
2023,0.410047728,Fill mask
2023,0.410121293,Fill mask
2023,0.410346099,Fill mask
2023,0.411224351,Fill mask
2023,0.411325306,Token classification
2023,0.41156112,Fill mask
2023,0.413133711,Fill mask
2023,0.413831844,Fill mask
2023,0.4142111058695999,Fill mask
2023,0.416146296,Question answering
2023,0.416524823,Fill mask
2023,0.416560529,Question answering
2023,0.416791447,Question answering
2023,0.417438071,Fill mask
2023,0.417772338,Fill mask
2023,0.419647576,Fill mask
2023,0.419973744,Fill mask
2023,0.420391526,Question answering
2023,0.4215053640073999,Fill mask
2023,0.4219631689488999,Fill mask
2023,0.423009854,Fill mask
2023,0.423777269,Fill mask
2023,0.42426694,Fill mask
2023,0.4256286783260999,Fill mask
2023,0.426142259,Fill mask
