Statement,Country,% agreeing with statement
Products and services using artificial intelligence make me excited,South Africa,59%
Products and services using artificial intelligence have more benefits than drawbacks,South Africa,59%
I trust artificial intelligence to not discriminate or show bias towards any group of people,South Africa,65%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,South Africa,70%
I have a good understanding of what artificial intelligence is,South Africa,78%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,South Korea,73%
I trust that companies that use artificial intelligence will protect my personal data,South Korea,40%
I know which types of products and services use artificial intelligence,South Korea,68%
Products and services using artificial intelligence make me nervous,South Korea,44%
I trust companies that use artificial intelligence as much as I trust other companies,South Korea,55%
Products and services using artificial intelligence have more benefits than drawbacks,South Korea,66%
I trust artificial intelligence to not discriminate or show bias towards any group of people,South Korea,55%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,South Korea,82%
I have a good understanding of what artificial intelligence is,South Korea,76%
Products and services using artificial intelligence make me excited,South Korea,76%
Products and services using artificial intelligence make me excited,Spain,50%
I have a good understanding of what artificial intelligence is,Spain,66%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Spain,61%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Spain,51%
Products and services using artificial intelligence have more benefits than drawbacks,Spain,50%
I trust companies that use artificial intelligence as much as I trust other companies,Spain,49%
Products and services using artificial intelligence make me nervous,Spain,51%
I know which types of products and services use artificial intelligence,Spain,46%
I trust that companies that use artificial intelligence will protect my personal data,Spain,49%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Spain,41%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Sweden ,31%
Products and services using artificial intelligence make me nervous,Sweden ,53%
I trust that companies that use artificial intelligence will protect my personal data,Sweden ,39%
I know which types of products and services use artificial intelligence,Sweden ,36%
I trust companies that use artificial intelligence as much as I trust other companies,Sweden ,42%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Sweden ,33%
Products and services using artificial intelligence have more benefits than drawbacks,Sweden ,39%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Sweden ,55%
I have a good understanding of what artificial intelligence is,Sweden ,67%
Products and services using artificial intelligence make me excited,Sweden ,32%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Thailand,72%
I trust that companies that use artificial intelligence will protect my personal data,Thailand,72%
I know which types of products and services use artificial intelligence,Thailand,73%
Products and services using artificial intelligence make me nervous,Thailand,57%
I trust companies that use artificial intelligence as much as I trust other companies,Thailand,73%
Products and services using artificial intelligence have more benefits than drawbacks,Thailand,74%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Thailand,83%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Thailand,79%
I have a good understanding of what artificial intelligence is,Thailand,78%
Products and services using artificial intelligence make me excited,Thailand,80%
Products and services using artificial intelligence make me nervous,Turkey,54%
