login,discovery_method,first_marker_date,marker_type,marker_confidence
SlavaMelanko,commit_search_coauthor,2026-03-19T11:38:33.000+02:00,commit_search: anthropic email (2026-H1+),high
wellWINeo,commit_search_coauthor,2026-03-26T22:26:41.000+03:00,commit_search: anthropic email (2026-H1+),high
ruimendesM,commit_search_coauthor,2026-03-26T17:45:31.000Z,commit_search: anthropic email (2026-H1+),high
sbouchet,commit_search_coauthor,2026-03-16T15:14:03.000+01:00,commit_search: anthropic email (2026-H1+),high
TheGupta2012,commit_search_coauthor,2026-03-16T13:08:33.000+05:30,commit_search: anthropic email (2026-H1+),high
rjwittams,commit_search_coauthor,2026-03-09T15:10:39.000Z,commit_search: anthropic email (2026-H1+),high
lawrencecchen,commit_search_coauthor,2026-03-13T07:41:30.000-07:00,commit_search: anthropic email (2026-H1+),high
AlexandreYang,commit_search_coauthor,2026-03-19T15:11:16.000Z,commit_search: anthropic email (2026-H1+),high
jjstankowicz,commit_search_coauthor,2026-03-18T23:52:51.000-04:00,commit_search: anthropic email (2026-H1+),high
chrisrauh,commit_search_coauthor,2026-03-23T19:27:34.000+01:00,commit_search: anthropic email (2026-H1+),high
fairy-pitta,commit_search_coauthor,2026-03-20T13:46:56.000+08:00,commit_search: anthropic email (2026-H1+),high
jegr78,commit_search_coauthor,2026-03-28T08:51:25.000+01:00,commit_search: anthropic email (2026-H1+),high
alcatraz627,commit_search_coauthor,2026-03-22T20:12:50.000+05:30,commit_search: anthropic email (2026-H1+),high
rjwalters,commit_search_coauthor,2026-03-22T07:16:54.000-07:00,commit_search: anthropic email (2026-H1+),high
DaxServer,commit_search_coauthor,2026-03-26T18:47:13.000+01:00,commit_search: anthropic email (2026-H1+),high
Fishy49,commit_search_coauthor,2026-03-25T18:23:36.000-05:00,commit_search: anthropic email (2026-H1+),high
mfaulhaber,commit_search_coauthor,2026-03-24T16:02:01.000-07:00,commit_search: anthropic email (2026-H1+),high
steffendsommer,commit_search_coauthor,2026-03-23T11:26:59.000+01:00,commit_search: anthropic email (2026-H1+),high
giovannizotta,commit_search_coauthor,2026-03-24T16:10:46.000+01:00,commit_search: anthropic email (2026-H1+),high
sam-phinizy,commit_search_coauthor,2026-03-24T09:14:59.000-04:00,commit_search: anthropic email (2026-H1+),high
alecritson,commit_search_coauthor,2026-03-06T14:37:32.000Z,commit_search: anthropic email (2026-H1+),high
kswift1,commit_search_coauthor,2026-03-23T18:37:37.000+09:00,commit_search: anthropic email (2026-H1+),high
malone1029,commit_search_coauthor,2026-03-13T18:47:09.000-05:00,commit_search: anthropic email (2026-H1+),high
SukbeomH,commit_search_coauthor,2026-03-24T16:38:28.000+09:00,commit_search: anthropic email (2026-H1+),high
briaguya0,commit_search_coauthor,2026-03-25T02:15:48.000-04:00,commit_search: anthropic email (2026-H1+),high
malbrnd,commit_search_coauthor,2026-03-22T00:52:15.000-07:00,commit_search: anthropic email (2026-H1+),high
wdekkers,commit_search_coauthor,2026-03-21T20:42:47.000-05:00,commit_search: anthropic email (2026-H1+),high
rmolines,commit_search_coauthor,2026-03-14T10:09:21.000-03:00,commit_search: anthropic email (2026-H1+),high
jeong-sik,commit_search_coauthor,2026-03-28T00:54:26.000+09:00,commit_search: anthropic email (2026-H1+),high
nurzazin0,commit_search_coauthor,2026-03-13T11:30:58.000+07:00,commit_search: anthropic email (2026-H1+),high
Ktulue,commit_search_coauthor,2026-03-14T22:14:04.000-04:00,commit_search: anthropic email (2026-H1+),high
auerbachb,commit_search_coauthor,2026-03-20T13:46:16.000-04:00,commit_search: anthropic email (2026-H1+),high
tomasz-tomczyk,commit_search_coauthor,2026-03-20T23:14:05.000Z,commit_search: anthropic email (2026-H1+),high
kwannoel,commit_search_coauthor,2026-03-17T12:34:45.000+08:00,commit_search: anthropic email (2026-H1+),high
arshadansari27,commit_search_coauthor,2026-03-26T15:18:27.000+05:30,commit_search: anthropic email (2026-H1+),high
kixelated,commit_search_coauthor,2026-03-22T16:11:49.000-07:00,commit_search: anthropic email (2026-H1+),high
osawa-koki,commit_search_coauthor,2026-03-21T16:34:20.000+09:00,commit_search: anthropic email (2026-H1+),high
aantn,commit_search_coauthor,2026-03-17T10:24:03.000Z,commit_search: anthropic email (2026-H1+),high
SerjRs,commit_search_coauthor,2026-03-14T13:03:04.000+02:00,commit_search: anthropic email (2026-H1+),high
jeffbNoUI,commit_search_coauthor,2026-03-23T07:30:50.000-06:00,commit_search: anthropic email (2026-H1+),high
BangDori,commit_search_coauthor,2026-03-02T23:48:19.000+09:00,commit_search: anthropic email (2026-H1+),high
dkisselev,commit_search_coauthor,2026-03-24T11:51:26.000-07:00,commit_search: anthropic email (2026-H1+),high
awlevin,commit_search_coauthor,2026-03-15T22:40:08.000-06:00,commit_search: anthropic email (2026-H1+),high
krazykeith,commit_search_coauthor,2026-03-26T11:42:56.000-04:00,commit_search: anthropic email (2026-H1+),high
pshevche,commit_search_coauthor,2026-03-22T21:10:18.000Z,commit_search: anthropic email (2026-H1+),high
sepivip,commit_search_coauthor,2026-03-23T17:48:30.000+04:00,commit_search: anthropic email (2026-H1+),high
marwhyte,commit_search_coauthor,2026-03-22T15:38:08.000+07:00,commit_search: anthropic email (2026-H1+),high
samsobellassistant,commit_search_coauthor,2026-03-15T14:05:07.000Z,commit_search: anthropic email (2026-H1+),high
jeffreylouden,commit_search_coauthor,2026-03-20T07:39:58.000-04:00,commit_search: anthropic email (2026-H1+),high
jmsn,commit_search_coauthor,2026-03-18T15:54:24.000+01:00,commit_search: anthropic email (2026-H1+),high
stephenstanwood,commit_search_coauthor,2026-03-26T17:32:52.000-07:00,commit_search: anthropic email (2026-H1+),high
negipo,commit_search_coauthor,2026-03-24T08:36:05.000Z,commit_search: anthropic email (2026-H1+),high
minchenlee,commit_search_coauthor,2026-03-21T20:33:26.000+08:00,commit_search: anthropic email (2026-H1+),high
hulh122,commit_search_coauthor,2026-03-23T10:21:07.000Z,commit_search: anthropic email (2026-H1+),high
DiegoCardoso,commit_search_coauthor,2026-03-25T07:26:02.000Z,commit_search: anthropic email (2026-H1+),high
danielreified,commit_search_coauthor,2026-03-17T13:14:27.000+02:00,commit_search: anthropic email (2026-H1+),high
gpdnjs8072,commit_search_coauthor,2026-03-13T13:37:45.000+09:00,commit_search: anthropic email (2026-H1+),high
mewwts,commit_search_coauthor,2026-03-26T15:47:32.000+01:00,commit_search: anthropic email (2026-H1+),high
scottschreckengaust,commit_search_coauthor,2026-03-25T19:22:22.000Z,commit_search: anthropic email (2026-H1+),high
ashitaka-emishi,commit_search_coauthor,2026-03-16T08:52:07.000-04:00,commit_search: anthropic email (2026-H1+),high
ronelliott,commit_search_coauthor,2026-03-27T18:01:37.000-07:00,commit_search: anthropic email (2026-H1+),high
phash,commit_search_coauthor,2026-03-20T17:02:23.000+01:00,commit_search: anthropic email (2026-H1+),high
rapidfsub,commit_search_coauthor,2026-03-16T10:29:18.000+09:00,commit_search: anthropic email (2026-H1+),high
dandcg,commit_search_coauthor,2026-03-09T10:50:30.000Z,commit_search: anthropic email (2026-H1+),high
ThienCan,commit_search_coauthor,2026-03-23T15:45:29.000+07:00,commit_search: anthropic email (2026-H1+),high
GabriellaDiasA,commit_search_coauthor,2026-03-25T11:43:48.000-03:00,commit_search: anthropic email (2026-H1+),high
dug-21,commit_search_coauthor,2026-03-10T18:48:59.000-04:00,commit_search: anthropic email (2026-H1+),high
n3wth,commit_search_coauthor,2026-03-20T04:32:53.000-07:00,commit_search: anthropic email (2026-H1+),high
naotochan,commit_search_coauthor,2026-03-26T21:29:00.000+09:00,commit_search: anthropic email (2026-H1+),high
tarunms7,commit_search_coauthor,2026-03-13T03:36:26.000+05:30,commit_search: anthropic email (2026-H1+),high
tilucasoli,commit_search_coauthor,2026-03-26T22:25:04.000-03:00,commit_search: anthropic email (2026-H1+),high
pgollucci,commit_search_coauthor,2026-03-24T23:42:59.000Z,commit_search: anthropic email (2026-H1+),high
kasperstorgaard,commit_search_coauthor,2026-03-20T07:48:50.000Z,commit_search: anthropic email (2026-H1+),high
robin-watcha,commit_search_coauthor,2026-03-27T18:03:39.000+09:00,commit_search: anthropic email (2026-H1+),high
camyyssa,commit_search_coauthor,2026-03-15T22:03:56.000+01:00,commit_search: anthropic email (2026-H1+),high
francisfuzz,commit_search_coauthor,2026-03-26T07:04:03.000-07:00,commit_search: anthropic email (2026-H1+),high
CahidArda,commit_search_coauthor,2026-03-16T16:55:29.000+03:00,commit_search: anthropic email (2026-H1+),high
Royyyylin,commit_search_coauthor,2026-03-22T17:00:33.000+08:00,commit_search: anthropic email (2026-H1+),high
ntoscano,commit_search_coauthor,2026-02-27T11:30:32.000-08:00,commit_search: anthropic email (2026-H1+),high
cmchenr,commit_search_coauthor,2026-03-18T13:30:34.000-04:00,commit_search: anthropic email (2026-H1+),high
kriscoleman,commit_search_coauthor,2026-03-20T10:22:16.000-04:00,commit_search: anthropic email (2026-H1+),high
kirich1409,commit_search_coauthor,2026-03-08T19:49:22.000+03:00,commit_search: anthropic email (2026-H1+),high
SuveenE,commit_search_coauthor,2026-03-08T16:18:55.000+08:00,commit_search: anthropic email (2026-H1+),high
dvntone,commit_search_coauthor,2026-03-20T01:53:17.000-07:00,commit_search: anthropic email (2026-H1+),high
rangersui,commit_search_coauthor,2026-03-24T16:36:22.000+11:00,commit_search: anthropic email (2026-H1+),high
jacaudi,commit_search_coauthor,2026-03-26T22:25:16.000-07:00,commit_search: anthropic email (2026-H1+),high
landsman,commit_search_coauthor,2026-03-20T16:16:21.000+01:00,commit_search: anthropic email (2026-H1+),high
Joibel,commit_search_coauthor,2026-03-24T15:36:10.000Z,commit_search: anthropic email (2026-H1+),high
saabendtsen,commit_search_coauthor,2026-03-24T09:44:18.000+01:00,commit_search: anthropic email (2026-H1+),high
ot-nemoto,commit_search_coauthor,2026-03-26T16:21:31.000+09:00,commit_search: anthropic email (2026-H1+),high
YanCheng-go,commit_search_coauthor,2026-03-18T21:53:58.000+01:00,commit_search: anthropic email (2026-H1+),high
andybarilla,commit_search_coauthor,2026-03-24T14:07:45.000-06:00,commit_search: anthropic email (2026-H1+),high
StevenDillmann,commit_search_coauthor,2026-03-18T22:59:09.000-07:00,commit_search: anthropic email (2026-H1+),high
benpeter,commit_search_coauthor,2026-03-23T04:59:20.000+01:00,commit_search: anthropic email (2026-H1+),high
edwarddgao,commit_search_coauthor,2026-03-10T18:01:33.000-04:00,commit_search: anthropic email (2026-H1+),high
designcode,commit_search_coauthor,2026-03-24T16:12:17.000+01:00,commit_search: anthropic email (2026-H1+),high
mkatogui,commit_search_coauthor,2026-03-13T00:22:20.000+01:00,commit_search: anthropic email (2026-H1+),high
kspears,commit_search_coauthor,2026-03-24T09:54:03.000-07:00,commit_search: anthropic email (2026-H1+),high
siner308,commit_search_coauthor,2026-03-26T09:49:26.000+09:00,commit_search: anthropic email (2026-H1+),high
humanagent,commit_search_coauthor,2026-03-16T11:52:58.000-03:00,commit_search: anthropic email (2026-H1+),high
andy-austin,commit_search_coauthor,2026-03-12T22:25:26.000-03:00,commit_search: anthropic email (2026-H1+),high
